key,source_text,target_text
block.bibliocraft.biomesoplenty_dead_bookcase,Dead Bookcase,枯れた本棚
block.bibliocraft.biomesoplenty_dead_fancy_armor_stand,Dead Fancy Armor Stand,枯れた豪華な防具立て
block.bibliocraft.biomesoplenty_dead_fancy_clock,Dead Fancy Clock,枯れた豪華な時計
block.bibliocraft.biomesoplenty_dead_fancy_crafter,Dead Fancy Crafter,枯れた豪華なクラフター
block.bibliocraft.biomesoplenty_dead_fancy_sign,Dead Fancy Sign,枯れた豪華な看板
block.bibliocraft.biomesoplenty_dead_grandfather_clock,Dead Grandfather Clock,枯れたグランドファーザークロック
block.bibliocraft.biomesoplenty_dead_label,Dead Label,枯れたラベル
block.bibliocraft.biomesoplenty_dead_potion_shelf,Dead Potion Shelf,枯れたポーション棚
block.bibliocraft.biomesoplenty_dead_shelf,Dead Shelf,枯れた棚
block.bibliocraft.biomesoplenty_dead_table,Dead Table,枯れたテーブル
block.bibliocraft.biomesoplenty_dead_tool_rack,Dead Tool Rack,枯れた道具ラック
block.bibliocraft.biomesoplenty_dead_wall_fancy_clock,Dead Fancy Clock,枯れた豪華な壁掛け時計
block.bibliocraft.biomesoplenty_dead_wall_fancy_sign,Dead Fancy Sign,枯れた豪華な壁掛け看板
block.bibliocraft.biomesoplenty_empyreal_bookcase,Empyreal Bookcase,エンピリアル本棚
block.bibliocraft.biomesoplenty_empyreal_fancy_armor_stand,Empyreal Fancy Armor Stand,エンピリアル豪華な防具立て
block.bibliocraft.biomesoplenty_empyreal_fancy_clock,Empyreal Fancy Clock,エンピリアル豪華な時計
block.bibliocraft.biomesoplenty_empyreal_fancy_crafter,Empyreal Fancy Crafter,エンピリアル豪華なクラフター
block.bibliocraft.biomesoplenty_empyreal_fancy_sign,Empyreal Fancy Sign,エンピリアル豪華な看板
block.bibliocraft.biomesoplenty_empyreal_grandfather_clock,Empyreal Grandfather Clock,エンピリアルグランドファーザークロック
block.bibliocraft.biomesoplenty_empyreal_label,Empyreal Label,エンピリアルラベル
block.bibliocraft.biomesoplenty_empyreal_potion_shelf,Empyreal Potion Shelf,エンピリアルポーション棚
block.bibliocraft.biomesoplenty_empyreal_shelf,Empyreal Shelf,エンピリアル棚
block.bibliocraft.biomesoplenty_empyreal_table,Empyreal Table,エンピリアルテーブル
block.bibliocraft.biomesoplenty_empyreal_tool_rack,Empyreal Tool Rack,エンピリアル道具ラック
block.bibliocraft.biomesoplenty_empyreal_wall_fancy_clock,Empyreal Fancy Clock,エンピリアル豪華な時計
block.bibliocraft.biomesoplenty_empyreal_wall_fancy_sign,Empyreal Fancy Sign,エンピリアル豪華な看板
block.bibliocraft.biomesoplenty_fir_bookcase,Fir Bookcase,モミ本棚
block.bibliocraft.biomesoplenty_fir_fancy_armor_stand,Fir Fancy Armor Stand,モミ豪華な防具立て
block.bibliocraft.biomesoplenty_fir_fancy_clock,Fir Fancy Clock,モミ豪華な時計
block.bibliocraft.biomesoplenty_fir_fancy_crafter,Fir Fancy Crafter,モミ豪華なクラフター
block.bibliocraft.biomesoplenty_fir_fancy_sign,Fir Fancy Sign,モミ豪華な看板
block.bibliocraft.biomesoplenty_fir_grandfather_clock,Fir Grandfather Clock,モミグランドファーザークロック
block.bibliocraft.biomesoplenty_fir_label,Fir Label,モミラベル
block.bibliocraft.biomesoplenty_fir_potion_shelf,Fir Potion Shelf,モミポーション棚
block.bibliocraft.biomesoplenty_fir_shelf,Fir Shelf,モミ棚
block.bibliocraft.biomesoplenty_fir_table,Fir Table,モミテーブル
block.bibliocraft.biomesoplenty_fir_tool_rack,Fir Tool Rack,モミ道具ラック
block.bibliocraft.biomesoplenty_fir_wall_fancy_clock,Fir Fancy Clock,モミ豪華な時計
block.bibliocraft.biomesoplenty_fir_wall_fancy_sign,Fir Fancy Sign,モミ豪華な看板
block.bibliocraft.biomesoplenty_hellbark_bookcase,Hellbark Bookcase,ヘルバーク本棚
block.bibliocraft.biomesoplenty_hellbark_fancy_armor_stand,Hellbark Fancy Armor Stand,ヘルバーク豪華な防具立て
block.bibliocraft.biomesoplenty_hellbark_fancy_clock,Hellbark Fancy Clock,ヘルバーク豪華な時計
block.bibliocraft.biomesoplenty_hellbark_fancy_crafter,Hellbark Fancy Crafter,ヘルバーク豪華なクラフター
block.bibliocraft.biomesoplenty_hellbark_fancy_sign,Hellbark Fancy Sign,ヘルバーク豪華な看板
block.bibliocraft.biomesoplenty_hellbark_grandfather_clock,Hellbark Grandfather Clock,ヘルバークグランドファーザークロック
block.bibliocraft.biomesoplenty_hellbark_label,Hellbark Label,ヘルバークラベル
block.bibliocraft.biomesoplenty_hellbark_potion_shelf,Hellbark Potion Shelf,ヘルバークポーション棚
block.bibliocraft.biomesoplenty_hellbark_shelf,Hellbark Shelf,ヘルバーク棚
block.bibliocraft.biomesoplenty_hellbark_table,Hellbark Table,ヘルバークテーブル
block.bibliocraft.biomesoplenty_hellbark_tool_rack,Hellbark Tool Rack,ヘルバーク道具ラック
block.bibliocraft.biomesoplenty_hellbark_wall_fancy_clock,Hellbark Fancy Clock,ヘルバーク豪華な時計
block.bibliocraft.biomesoplenty_hellbark_wall_fancy_sign,Hellbark Fancy Sign,ヘルバーク豪華な看板
block.bibliocraft.biomesoplenty_jacaranda_bookcase,Jacaranda Bookcase,ジャカランダ本棚
