key,source_text,target_text,status
block.mcwstairs.acacia_balcony,Acacia Balcony,アカシアバルコニー,translated
block.mcwstairs.acacia_bulk_stairs,Acacia Bulk Stairs,アカシアバルク階段,translated
block.mcwstairs.acacia_compact_stairs,Acacia Compact Stairs,アカシアコンパクト階段,translated
block.mcwstairs.acacia_loft_stairs,Acacia Loft Stairs,アカシアロフト階段,translated
block.mcwstairs.acacia_platform,Acacia Platform,アカシアプラットフォーム,translated
block.mcwstairs.acacia_railing,Acacia Railing,アカシア手すり,translated
block.mcwstairs.acacia_skyline_stairs,Acacia Skyline Stairs,アカシアスカイライン階段,translated
block.mcwstairs.acacia_terrace_stairs,Acacia Terrace Stairs,アカシアテラス階段,translated
block.mcwstairs.andesite_balcony,Andesite Balcony,安山岩バルコニー,translated
block.mcwstairs.andesite_bulk_stairs,Andesite Bulk Stairs,安山岩バルク階段,translated
block.mcwstairs.andesite_compact_stairs,Andesite Compact Stairs,安山岩コンパクト階段,translated
block.mcwstairs.andesite_loft_stairs,Andesite Loft Stairs,安山岩ロフト階段,translated
block.mcwstairs.andesite_platform,Andesite Platform,安山岩プラットフォーム,translated
block.mcwstairs.andesite_railing,Andesite Railing,安山岩手すり,translated
block.mcwstairs.andesite_skyline_stairs,Andesite Skyline Stairs,安山岩スカイライン階段,translated
block.mcwstairs.andesite_terrace_stairs,Andesite Terrace Stairs,安山岩テラス階段,translated
block.mcwstairs.birch_balcony,Birch Balcony,白樺バルコニー,translated
block.mcwstairs.birch_bulk_stairs,Birch Bulk Stairs,白樺バルク階段,translated
block.mcwstairs.birch_compact_stairs,Birch Compact Stairs,白樺コンパクト階段,translated
block.mcwstairs.birch_loft_stairs,Birch Loft Stairs,白樺ロフト階段,translated
block.mcwstairs.birch_platform,Birch Platform,白樺プラットフォーム,translated
block.mcwstairs.birch_railing,Birch Railing,白樺手すり,translated
block.mcwstairs.birch_skyline_stairs,Birch Skyline Stairs,白樺スカイライン階段,translated
block.mcwstairs.birch_terrace_stairs,Birch Terrace Stairs,白樺テラス階段,translated
block.mcwstairs.blackstone_balcony,Blackstone Balcony,黒石バルコニー,translated
block.mcwstairs.blackstone_bulk_stairs,Blackstone Bulk Stairs,黒石バルク階段,translated
block.mcwstairs.blackstone_compact_stairs,Blackstone Compact Stairs,黒石コンパクト階段,translated
block.mcwstairs.blackstone_loft_stairs,Blackstone Loft Stairs,黒石ロフト階段,translated
block.mcwstairs.blackstone_platform,Blackstone Platform,黒石プラットフォーム,translated
block.mcwstairs.blackstone_railing,Blackstone Railing,黒石手すり,translated
block.mcwstairs.blackstone_skyline_stairs,Blackstone Skyline Stairs,黒石スカイライン階段,translated
block.mcwstairs.blackstone_terrace_stairs,Blackstone Terrace Stairs,黒石テラス階段,translated
block.mcwstairs.brick_balcony,Brick Balcony,レンガバルコニー,translated
block.mcwstairs.brick_bulk_stairs,Brick Bulk Stairs,レンガバルク階段,translated
block.mcwstairs.brick_compact_stairs,Brick Compact Stairs,レンガコンパクト階段,translated
block.mcwstairs.brick_loft_stairs,Brick Loft Stairs,レンガロフト階段,translated
block.mcwstairs.brick_platform,Brick Platform,レンガプラットフォーム,translated
block.mcwstairs.brick_railing,Brick Railing,レンガ手すり,translated
block.mcwstairs.brick_skyline_stairs,Brick Skyline Stairs,レンガスカイライン階段,translated
block.mcwstairs.brick_terrace_stairs,Brick Terrace Stairs,レンガテラス階段,translated
block.mcwstairs.cherry_balcony,Cherry Balcony,サクラバルコニー,translated
block.mcwstairs.cherry_bulk_stairs,Cherry Bulk Stairs,サクラバルク階段,translated
block.mcwstairs.cherry_compact_stairs,Cherry Compact Stairs,サクラコンパクト階段,translated
block.mcwstairs.cherry_loft_stairs,Cherry Loft Stairs,サクラロフト階段,translated
block.mcwstairs.cherry_platform,Cherry Platform,サクラプラットフォーム,translated
block.mcwstairs.cherry_railing,Cherry Railing,サクラ手すり,translated
block.mcwstairs.cherry_skyline_stairs,Cherry Skyline Stairs,サクラスカイライン階段,translated
block.mcwstairs.cherry_terrace_stairs,Cherry Terrace Stairs,サクラテラス階段,translated
block.mcwstairs.cobbled_deepslate_balcony,Cobbled Deepslate Balcony,石敷き深層岩バルコニー,translated
block.mcwstairs.cobbled_deepslate_bulk_stairs,Cobbled Deepslate Bulk Stairs,石敷き深層岩バルク階段,translated
block.mcwstairs.cobbled_deepslate_compact_stairs,Cobbled Deepslate Compact Stairs,石敷き深層岩コンパクト階段,translated
block.mcwstairs.cobbled_deepslate_loft_stairs,Cobbled Deepslate Loft Stairs,石敷き深層岩ロフト階段,translated
block.mcwstairs.cobbled_deepslate_platform,Cobbled Deepslate Platform,石敷き深層岩プラットフォーム,translated
block.mcwstairs.cobbled_deepslate_railing,Cobbled Deepslate Railing,石敷き深層岩手すり,translated
block.mcwstairs.cobbled_deepslate_skyline_stairs,Cobbled Deepslate Skyline Stairs,石敷き深層岩スカイライン階段,translated
block.mcwstairs.cobbled_deepslate_terrace_stairs,Cobbled Deepslate Terrace Stairs,石敷き深層岩テラス階段,translated
block.mcwstairs.cobblestone_balcony,Cobblestone Balcony,丸石バルコニー,translated
block.mcwstairs.cobblestone_bulk_stairs,Cobblestone Bulk Stairs,丸石バルク階段,translated
block.mcwstairs.cobblestone_compact_stairs,Cobblestone Compact Stairs,丸石コンパクト階段,translated
block.mcwstairs.cobblestone_loft_stairs,Cobblestone Loft Stairs,丸石ロフト階段,translated
block.mcwstairs.cobblestone_platform,Cobblestone Platform,丸石プラットフォーム,translated
block.mcwstairs.cobblestone_railing,Cobblestone Railing,丸石手すり,translated
