key,source_text,target_text,status
filter.type.exact_count,Exact Count Filter,正確な数フィルター,translated
filter.type.exact_count.tooltip,Transfer only if it has same count as the defined filter,定義されたフィルターと同じ数である場合にのみ転送,translated
filter.type.mod,Mod Filter,Modフィルター,translated
filter.type.mod.tooltip,Transfer only if it has the same mod id as the defined filter,定義されたフィルターと同じMod IDである場合にのみ転送,translated
filter.type.normal,Normal Filter,通常フィルター,translated
filter.type.normal.tooltip,Transfer only if it is the same as the filter,フィルターと同じである場合にのみ転送,translated
filter.type.regulating,Regulating Filter,調整フィルター,translated
filter.type.regulating.tooltip,Transfer to keep the defined filter amount on the destination,転送先に定義されたフィルター量を保つために転送,translated
filter.type.scroll,*Scroll to change the filter type*,*スクロールしてフィルター タイプを変更*,translated
filter.type.tag,Tag Filter,タグフィルター,translated
filter.type.tag.tooltip,Transfer only if it has the same tag as the defined in the filter,フィルターで定義されたものと同じタグがある場合にのみ転送,translated
item.transfer_labels.fluidstack_extract_transfer_label,Fluidstack Extract Transfer Label,液体スタック抽出転送ラベル,translated
item.transfer_labels.fluidstack_insert_transfer_label,Fluidstack Insert Transfer Label,液体スタック挿入転送ラベル,translated
item.transfer_labels.itemstack_extract_transfer_label,Itemstack Extract Transfer Label,アイテムスタック抽出転送ラベル,translated
item.transfer_labels.itemstack_insert_transfer_label,Itemstack Insert Transfer Label,アイテムスタック挿入転送ラベル,translated
item.transfer_labels.label_accessor,Label Accessor,ラベルアクセッサー,translated
itemGroup.transfer_labels,Transfer Labels,転送ラベル,translated
tooltip.transfer_labels.blacklist,Blacklist,ブラックリスト,translated
tooltip.transfer_labels.slot.amount,Amount,数量,translated
tooltip.transfer_labels.slot.speed,Speed,速度,translated
tooltip.transfer_labels.whitelist,Whitelist,ホワイトリスト,translated
