key,source_text,target_text,status
config.trashslot.allowDeletionWhileTrashSlotIsInvisible,Allow Deletion While TrashSlot is Invisible,TrashSlotが非表示の場合でも削除を許可,translated
config.trashslot.allowDeletionWhileTrashSlotIsInvisible.tooltip,"Not recommended, but this will allow you to use the keybinds for deleting items even if the trash slot itself is hidden.",推奨されませんが、ゴミ箱スロット自体が非表示の場合でもアイテムを削除するためのキーバインドを使用できるようになります。,translated
config.trashslot.deletionDenyList,Deletion Deny List,削除禁止リスト,translated
config.trashslot.deletionDenyList.tooltip,"List of items that cannot be deleted, in comma-separated format of ""modid:name"".",削除できないアイテムのリスト（「modid:name」のカンマ区切り形式）。,translated
config.trashslot.enableDeleteKeysInCreative,Delete Keys in Creative,クリエイティブモードでキーを削除,translated
config.trashslot.enableDeleteKeysInCreative.tooltip,"Set to true if you want the delete keybindings to work in creative as well. Note: Items will be deleted permanently in creative, regardless of instantDeletion setting!",クリエイティブモードでも削除キーバインドが機能することを希望する場合は、trueに設定します。注意：instantDeletion設定に関係なく、アイテムはクリエイティブモードで永久に削除されます！,translated
config.trashslot.enableHints,Enable Hints,ヒントを有効にする,translated
config.trashslot.enableHints.tooltip,TrashSlot will show a hint the first time the trash slot is toggled off or can be enabled on a supported screen. Set to false to disable.,TrashSlotは、ゴミ箱スロットがオフに切り替わるか、サポートされているスクリーンで有効にできる最初の時点でヒントを表示します。無効にするにはfalseに設定します。,translated
config.trashslot.instantDeletion,Instant Deletion,瞬間削除,translated
config.trashslot.instantDeletion.tooltip,"This causes the deletion slot to delete items instantly, similar to Creative Mode.",これにより、削除スロットはCreative Modeと同様にアイテムを即座に削除します。,translated
config.trashslot.title,TrashSlot,,pending
key.categories.trashslot,TrashSlot,,pending
key.trashslot.delete,Delete Item,アイテムを削除,translated
key.trashslot.delete_all,Delete All Items of Type,同じタイプのすべてのアイテムを削除,translated
key.trashslot.toggle,Show/Hide TrashSlot,TrashSlotを表示/非表示,translated
key.trashslot.toggle_lock,Lock/Unlock TrashSlot,TrashSlotをロック/ロック解除,translated
trashslot.config.instantDeletion,Instant Deleting,瞬間削除,translated
trashslot.hint.deletedWhileHidden,Item trashed!,アイテムを削除しました！,translated
trashslot.hint.deletionDenied,Item cannot be trashed!,アイテムを削除できません！,translated
trashslot.hint.locked,Trash slot locked. Press %s to unlock it.,ゴミ箱スロットはロックされています。%sキーを押してロック解除します。,translated
trashslot.hint.toggleOn,Press %s to enable the trash slot for this screen!,%sキーを押してこの画面のゴミ箱スロットを有効にしてください！,translated
trashslot.hint.toggledOff,You've toggled off the trash slot! Press %s to re-enable it.,ゴミ箱スロットをオフにしました！%sキーを押して再度有効にします。,translated
trashslot.hint.unlocked,Trash slot unlocked. Press %s to lock it.,ゴミ箱スロットのロックが解除されました。%sキーを押してロックします。,translated
trashslot.serverNotInstalled,The server does not have TrashSlot installed. This mod will be disabled.,サーバーにTrashSlotがインストールされていません。このModは無効になります。,translated
