key,source_text,target_text
item.farmers_delight_christmas_editio.baked_ginger_bread_ma,Baked Gingerbread Man,焼きたてジンジャーブレッドマン
item.farmers_delight_christmas_editio.baked_gingerbread_circle,Baked Gingerbread Circle,焼きジンジャーブレッドサークル
item.farmers_delight_christmas_editio.baked_gingerbread_star,Baked Gingerbread Star,焼きたてのジンジャーブレッドスター
item.farmers_delight_christmas_editio.baked_gingerbread_tree,Baked Gingerbread Tree,焼きジンジャーブレッドツリー
item.farmers_delight_christmas_editio.black_frosted_gingerbread_cookie,Black Frosted Gingerbread Circle,黒い霜のジンジャーブレッドの円
item.farmers_delight_christmas_editio.black_gingerbread_man,Black Gingerbread Man,黒いジンジャーブレッドマン
item.farmers_delight_christmas_editio.black_gingerbread_star,Black Gingerbread Star,黒いジンジャーブレッドスター
item.farmers_delight_christmas_editio.black_gingerbread_tree,Black Gingerbread Tree,黒いジンジャーブレッドツリー
item.farmers_delight_christmas_editio.black_royal_frosting,Black Royal Frosting,黒いロイヤルフロスト
item.farmers_delight_christmas_editio.black_sugar_cookie,Black Sugar Cookie,黒砂糖クッキー
item.farmers_delight_christmas_editio.blue_frosted_gingerbread_cookie,Blue Frosted Gingerbread Circle,青いフロストド・ジンジャーブレッド円
item.farmers_delight_christmas_editio.blue_gingerbread_man,Blue Gingerbread Man,青いジンジャーマン
item.farmers_delight_christmas_editio.blue_gingerbread_star,Blue Gingerbread Star,青いジンジャーブレッドスター
item.farmers_delight_christmas_editio.blue_gingerbread_tree,Blue Gingerbread Tree,青いジンジャーブレッドツリー
item.farmers_delight_christmas_editio.blue_sugar_cookie,Blue Sugar Cookie,青い砂糖クッキー
item.farmers_delight_christmas_editio.brown_frosted_gingerbread_cookie,Brown Frosted Gingerbread Circle,茶色の霜のジンジャーブレッドの円
item.farmers_delight_christmas_editio.brown_gingerbread_man,Brown Gingerbread Man,茶色いジンジャーブレッドマン
item.farmers_delight_christmas_editio.brown_gingerbread_star,Brown Gingerbread Star,茶色いジンジャーブレッドスター
item.farmers_delight_christmas_editio.brown_gingerbread_tree,Brown Gingerbread Tree,茶色のジンジャーブレッドツリー
item.farmers_delight_christmas_editio.brown_royal_frosting,Brown Royal Frosting,茶色いロイヤルフロスティング
item.farmers_delight_christmas_editio.brown_sugar_cookie,Brown Sugar Cookie,茶砂糖クッキー
item.farmers_delight_christmas_editio.candy_cane,Candy Cane,キャンディケイン
item.farmers_delight_christmas_editio.candy_cane_and_chocolate_chip_ice_cream,Candy Cane And Chocolate Chip Ice Cream,キャンディーケーンとチョコレートチップアイスクリーム
item.farmers_delight_christmas_editio.candy_cane_bit_ice_cream,Candy Cane Ice Cream,キャンディーケーンアイスクリーム
item.farmers_delight_christmas_editio.chocolate_bar,Chocolate Bar,チョコレートバー
item.farmers_delight_christmas_editio.chocolate_chip_ice_cream,Chocolate Chip Ice Cream,チョコレートチップアイスクリーム
item.farmers_delight_christmas_editio.chocolate_coin,Chocolate Coin,チョコレートコイン
item.farmers_delight_christmas_editio.cinnamon,Cinnamon,シナモン
item.farmers_delight_christmas_editio.cinnamon_bun,Cinnamon Bun,シナモンバン
item.farmers_delight_christmas_editio.cinnamon_eggnog,Cinnamon Eggnog,シナモンエッグノッグ
item.farmers_delight_christmas_editio.circle_cookie_cutter,Circle Cookie Cutter,円形クッキー型
item.farmers_delight_christmas_editio.coin_wrapper,Coin Wrapper,硬貨の包装紙
item.farmers_delight_christmas_editio.cream_cheese_and_berry_log,Cream Cheese And Berry Log,クリームチーズとベリーのログ
item.farmers_delight_christmas_editio.cream_cheese_and_berry_log_slice,Cream Cheese And Berry Log Slice,クリームチーズとベリーの木のスライス
item.farmers_delight_christmas_editio.crushed_candy_cane,Pepper Mint,パプリカミント
item.farmers_delight_christmas_editio.cyan_frosted_gingerbread_cookie,Cyan Frosted Gingerbread Circle,シアンフロストド・ジンジャーブレッド円
item.farmers_delight_christmas_editio.cyan_gingerbread_man,Cyan Gingerbread Man,シアンジンジャーブレッドマン
item.farmers_delight_christmas_editio.cyan_gingerbread_star,Cyan Gingerbread Star,シアンのジンジャーブレッドスター
item.farmers_delight_christmas_editio.cyan_gingerbread_tree,Cyan Gingerbread Tree,シアンのジンジャーブレッドツリー
item.farmers_delight_christmas_editio.cyan_royal_frosting,Cyan Royal Frosting,シアンロイヤルフロスティング
item.farmers_delight_christmas_editio.cyan_sugar_cookie,Cyan Sugar Cookie,シアンの砂糖クッキー
item.farmers_delight_christmas_editio.eggnog,Eggnog,エッグノッグ
item.farmers_delight_christmas_editio.frosted_gingerbread_circle,Frosted Gingerbread Circle,フローズンジンジャーブレッド円
item.farmers_delight_christmas_editio.frosted_gingerbread_man,Frosted Gingerbread Man,霜降りジンジャーブレッドマン
item.farmers_delight_christmas_editio.frosted_gingerbread_star,Frosted Gingerbread Star,凍ったジンジャーブレッドの星
item.farmers_delight_christmas_editio.frosted_gingerbread_tree,Frosted Gingerbread Tree,凍ったジンジャーブレッドの木
item.farmers_delight_christmas_editio.gray_frosted_gingerbread_cookie,Gray Frosted Gingerbread Circle,グレーのフロストド・ジンジャーブレッドサークル
item.farmers_delight_christmas_editio.gray_frosting,Gray Royal Frosting,グレイロイヤルフロスティング
item.farmers_delight_christmas_editio.gray_gingerbread_man,Gray Gingerbread Man,グレージンジャーブレッドマン
item.farmers_delight_christmas_editio.gray_gingerbread_star,Gray Gingerbread Star,灰色のジンジャーブレッドスター
item.farmers_delight_christmas_editio.gray_gingerbread_tree,Gray Gingerbread Tree,灰色のジンジャーブレッドツリー
item.farmers_delight_christmas_editio.gray_sugar_cookie,Gray Sugar Cookie,グレーの砂糖クッキー
item.farmers_delight_christmas_editio.green_frosted_gingerbread_cookie,Green Frosted Gingerbread Circle,緑のフローズンジンジャーブレッド円
item.farmers_delight_christmas_editio.green_gingerbread_man,Green Gingerbread Man,緑のジンジャーブレッドマン
item.farmers_delight_christmas_editio.green_gingerbread_star,Green Gingerbread Star,緑のジンジャーブレッドスター
item.farmers_delight_christmas_editio.green_gingerbread_tree,Green Gingerbread Tree,緑のジンジャーブレッドツリー
item.farmers_delight_christmas_editio.green_royal_frosting,Green Royal Frosting,緑のロイヤルフロスト
item.farmers_delight_christmas_editio.green_sugar_cookie,Green Sugar Cookie,緑砂糖クッキー
item.farmers_delight_christmas_editio.hot_cocoa_with_marshmallows,Hot Cocoa With Marshmallows,ホットココアとマシュマロ
item.farmers_delight_christmas_editio.hot_cocoa_with_marshmallows_and_candy_cane,Hot Cocoa With Marshmallows And Candy Cane,マシュマロとキャンディーケーン入りホットココア
item.farmers_delight_christmas_editio.hot_cocoa_with_marshmallows_and_cinnamon,Hot Cocoa With Marshmallows And Cinnamon,ホットココア・マシュマロ＆シナモン
item.farmers_delight_christmas_editio.hot_cocoa_with_marshmallows_and_peppermint,Hot Cocoa With Marshmallows And Peppermint,マシュマロとペパーミント入りホットココア
item.farmers_delight_christmas_editio.light_blue_frosted_gingerbread_cookie,Light Blue Frosted Gingerbread Circle,ライトブルーのフロストガレット円
item.farmers_delight_christmas_editio.light_blue_gingerbread_man,Light Blue Gingerbread Man,ライトブルージンジャーブレッドマン
item.farmers_delight_christmas_editio.light_blue_gingerbread_star,Light Blue Gingerbread Star,ライトブルーのジンジャーブレッドスター
item.farmers_delight_christmas_editio.light_blue_gingerbread_tree,Light Blue Gingerbread Tree,ライトブルーのジンジャーブレッドツリー
item.farmers_delight_christmas_editio.light_blue_royal_frosting,Light Blue Royal Frosting,ライトブルーロイヤルフロスティング
item.farmers_delight_christmas_editio.light_blue_sugar_cookie,Light Blue Sugar Cookie,ライトブルーのスイーツクッキー
item.farmers_delight_christmas_editio.light_gray_frosted_gingerbread_cookie,Light Gray Frosted Gingerbread Circle,ライトグレーのフロストガレット円
item.farmers_delight_christmas_editio.light_gray_frosting,Light Gray Royal Frosting,ライトグレイロイヤルフロスティング
item.farmers_delight_christmas_editio.light_gray_gingerbread_man,Light Gray Gingerbread Man,ライトグレー ジンジャーブレッドマン
item.farmers_delight_christmas_editio.light_gray_gingerbread_star,Light Gray Gingerbread Star,ライトグレーのジンジャーブレッドスター
item.farmers_delight_christmas_editio.light_gray_gingerbread_tree,Light Gray Gingerbread Tree,ライトグレーのジンジャーブレッドツリー
item.farmers_delight_christmas_editio.light_gray_sugar_cookie,Light Gray Sugar Cookie,ライトグレイのスイーツクッキー
item.farmers_delight_christmas_editio.lime_frosted_gingerbread_cookie,Lime Frosted Gingerbread Circle,ライムのフロストド・ジンジャーブレッドサークル
item.farmers_delight_christmas_editio.lime_gingerbread_man,Lime Gingerbread Man,ライムジンジャーブレッドマン
item.farmers_delight_christmas_editio.lime_gingerbread_star,Lime Gingerbread Star,ライムのジンジャーブレッドスター
item.farmers_delight_christmas_editio.lime_gingerbread_tree,Lime Gingerbread Tree,ライムジンジャーブレッドの木
item.farmers_delight_christmas_editio.lime_royal_frosting,Lime Royal Frosting,ライムロイヤルフロスティング
item.farmers_delight_christmas_editio.lime_sugar_cookie,Lime Sugar Cookie,ライムの砂糖クッキー
item.farmers_delight_christmas_editio.magenta_frosted_gingerbread_cookie,Magenta Frosted Gingerbread Circle,マゼンタの霜降りジンジャーブレッド円
item.farmers_delight_christmas_editio.magenta_gingerbread_man,Magenta Gingerbread Man,マゼンタジンジャーブレッドマン
item.farmers_delight_christmas_editio.magenta_gingerbread_star,Magenta Gingerbread Star,マゼンタ ジンジャーブレッド スター
item.farmers_delight_christmas_editio.magenta_gingerbread_tree,Magenta Gingerbread Tree,マゼンタ ジンジャーブレッド ツリー
item.farmers_delight_christmas_editio.magenta_royal_frosting,Magenta Royal Frosting,マゼンタのロイヤルフロスティング
item.farmers_delight_christmas_editio.magenta_sugar_cookie,Magenta Sugar Cookie,マゼンタシュガークッキー
item.farmers_delight_christmas_editio.man_cutter,Man Cookie Cutter,マンクッキーカッター
item.farmers_delight_christmas_editio.marshmallow,Marshmallow,マシュマロ
item.farmers_delight_christmas_editio.orange_frosted_gingerbread_cookie,Orange Frosted Gingerbread Circle,オレンジ色のフロストド・ジンジャーブレッド円
item.farmers_delight_christmas_editio.orange_gingerbread_man,Orange Gingerbread Man,オレンジのジンジャーブレッドマン
item.farmers_delight_christmas_editio.orange_gingerbread_star,Orange Gingerbread Star,オレンジジンジャースター
item.farmers_delight_christmas_editio.orange_gingerbread_tree,Orange Gingerbread Tree,オレンジジンジャーツリー
