key,source_text,target_text
block.interiors.black_chair,Black Chair,黒い椅子
block.interiors.black_floor_chair,Black Floor Chair,黒い床の椅子
block.interiors.blue_chair,Blue Chair,青い椅子
block.interiors.blue_floor_chair,Blue Floor Chair,青い床の椅子
block.interiors.brown_chair,Brown Chair,茶色の椅子
block.interiors.brown_floor_chair,Brown Floor Chair,ブラウンフロアチェア
block.interiors.chair.tooltip,CHAIR,椅子
block.interiors.chair.tooltip.behaviour1,Sits the player on the _Chair_. Press L-shift to leave the _Chair_.,プレイヤーを _Chair_ に座らせます。L-shift を押すと _Chair_ から離れます。
block.interiors.chair.tooltip.behaviour2,Toggles individual _Chair_ armrests.,個別の _椅子_ アームレストを切り替えます。
block.interiors.chair.tooltip.behaviour3,Toggles _Chair_ back size.,椅子の背もたれのサイズを切り替えます。
block.interiors.chair.tooltip.condition1,When R-Clicked,右クリックしたとき
block.interiors.chair.tooltip.condition2,When R-Clicked with Wrench,レンチで右クリックしたとき
block.interiors.chair.tooltip.condition3,When Sneak R-Clicked with Wrench,ハンドルでスニーカーを押しながらRクリック
block.interiors.chair.tooltip.summary,Sit yourself down and enjoy the ride! Will anchor a player onto a _contraption_. An appealing option for _furniture_ too!,座ってリラックスしましょう！_contraption_にプレイヤーを固定します。_furniture_としても素敵なオプションです！
block.interiors.cyan_chair,Cyan Chair,シアンの椅子
block.interiors.cyan_floor_chair,Cyan Floor Chair,シアン色の床の椅子
block.interiors.gray_chair,Gray Chair,グレーの椅子
block.interiors.gray_floor_chair,Gray Floor Chair,灰色の床の椅子
block.interiors.green_chair,Green Chair,緑の椅子
block.interiors.green_floor_chair,Green Floor Chair,グリーンフロアチェア
block.interiors.kelp_chair,Kelp Chair,ケープの椅子
block.interiors.kelp_floor_chair,Kelp Floor Chair,海藻の床の椅子
block.interiors.kelp_seat,Kelp Seat,ケープの座
block.interiors.light_blue_chair,Light Blue Chair,ライトブルーチェア
block.interiors.light_blue_floor_chair,Light Blue Floor Chair,淡い青のフロアチェア
block.interiors.light_gray_chair,Light Gray Chair,ライトグレーの椅子
block.interiors.light_gray_floor_chair,Light Gray Floor Chair,淡いグレーのフロアチェア
block.interiors.lime_chair,Lime Chair,ライムの椅子
block.interiors.lime_floor_chair,Lime Floor Chair,ライム色の床用椅子
block.interiors.magenta_chair,Magenta Chair,マゼンタの椅子
block.interiors.magenta_floor_chair,Magenta Floor Chair,マゼンタの床用椅子
block.interiors.orange_chair,Orange Chair,オレンジの椅子
block.interiors.orange_floor_chair,Orange Floor Chair,オレンジフロアチェア
block.interiors.pink_chair,Pink Chair,ピンクの椅子
block.interiors.pink_floor_chair,Pink Floor Chair,ピンクの床用椅子
block.interiors.purple_chair,Purple Chair,紫の椅子
block.interiors.purple_floor_chair,Purple Floor Chair,パープルフロアチェア
block.interiors.red_chair,Red Chair,赤い椅子
block.interiors.red_floor_chair,Red Floor Chair,赤い床の椅子
block.interiors.seatwood_planks,Seatwood Planks,座る木の板
block.interiors.wall_mounted_table,Wall Mounted Table,壁掛けテーブル
block.interiors.white_chair,White Chair,白い椅子
block.interiors.white_floor_chair,White Floor Chair,ホワイトフロアチェア
block.interiors.yellow_chair,Yellow Chair,黄色の椅子
block.interiors.yellow_floor_chair,Yellow Floor Chair,イエロー・フロアチェア
entity.interiors.big_seat,Big Seat,大きな椅子
itemGroup.interiors,Create: Interiors,作成：インテリア
