key,source_text,target_text
block.connectedglass.borderless_glass,Connecting Glass,縁なしガラス
block.connectedglass.borderless_glass_black,Connecting Black Stained Glass,黒色の色付き縁なしガラス
block.connectedglass.borderless_glass_black_pane,Connecting Black Stained Glass Pane,黒色の色付き縁なしガラス板
block.connectedglass.borderless_glass_blue,Connecting Blue Stained Glass,青色の色付き縁なしガラス
block.connectedglass.borderless_glass_blue_pane,Connecting Blue Stained Glass Pane,青色の色付き縁なしガラス板
block.connectedglass.borderless_glass_brown,Connecting Brown Stained Glass,茶色の色付き縁なしガラス
block.connectedglass.borderless_glass_brown_pane,Connecting Brown Stained Glass Pane,茶色の色付き縁なしガラス板
block.connectedglass.borderless_glass_cyan,Connecting Cyan Stained Glass,青緑色の色付き縁なしガラス
block.connectedglass.borderless_glass_cyan_pane,Connecting Cyan Stained Glass Pane,青緑色の色付き縁なしガラス板
block.connectedglass.borderless_glass_gray,Connecting Gray Stained Glass,灰色の色付き縁なしガラス
block.connectedglass.borderless_glass_gray_pane,Connecting Gray Stained Glass Pane,灰色の色付き縁なしガラス板
block.connectedglass.borderless_glass_green,Connecting Green Stained Glass,緑色の色付き縁なしガラス
block.connectedglass.borderless_glass_green_pane,Connecting Green Stained Glass Pane,緑色の色付き縁なしガラス板
block.connectedglass.borderless_glass_light_blue,Connecting Light Blue Stained Glass,空色の色付き縁なしガラス
block.connectedglass.borderless_glass_light_blue_pane,Connecting Light Blue Stained Glass Pane,空色の色付き縁なしガラス板
block.connectedglass.borderless_glass_light_gray,Connecting Light Gray Stained Glass,薄灰色の色付き縁なしガラス
block.connectedglass.borderless_glass_light_gray_pane,Connecting Light Gray Stained Glass Pane,薄灰色の色付き縁なしガラス板
block.connectedglass.borderless_glass_lime,Connecting Lime Stained Glass,黄緑色の色付き縁なしガラス
block.connectedglass.borderless_glass_lime_pane,Connecting Lime Stained Glass Pane,黄緑色の色付き縁なしガラス板
block.connectedglass.borderless_glass_magenta,Connecting Magenta Stained Glass,赤紫色の色付き縁なしガラス
block.connectedglass.borderless_glass_magenta_pane,Connecting Magenta Stained Glass Pane,赤紫色の色付き縁なしガラス板
block.connectedglass.borderless_glass_orange,Connecting Orange Stained Glass,橙色の色付き縁なしガラス
block.connectedglass.borderless_glass_orange_pane,Connecting Orange Stained Glass Pane,橙色の色付き縁なしガラス板
block.connectedglass.borderless_glass_pane,Connecting Glass Pane,縁なしガラス板
block.connectedglass.borderless_glass_pink,Connecting Pink Stained Glass,桃色の色付き縁なしガラス
block.connectedglass.borderless_glass_pink_pane,Connecting Pink Stained Glass Pane,桃色の色付き縁なしガラス板
block.connectedglass.borderless_glass_purple,Connecting Purple Stained Glass,紫色の色付き縁なしガラス
block.connectedglass.borderless_glass_purple_pane,Connecting Purple Stained Glass Pane,紫色の色付き縁なしガラス板
block.connectedglass.borderless_glass_red,Connecting Red Stained Glass,赤色の色付き縁なしガラス
block.connectedglass.borderless_glass_red_pane,Connecting Red Stained Glass Pane,赤色の色付き縁なしガラス板
block.connectedglass.borderless_glass_white,Connecting White Stained Glass,白色の色付き縁なしガラス
block.connectedglass.borderless_glass_white_pane,Connecting White Stained Glass Pane,白色の色付き縁なしガラス板
block.connectedglass.borderless_glass_yellow,Connecting Yellow Stained Glass,黄色の色付き縁なしガラス
block.connectedglass.borderless_glass_yellow_pane,Connecting Yellow Stained Glass Pane,黄色の色付き縁なしガラス板
block.connectedglass.clear_glass,Clear Glass,クリアガラス
block.connectedglass.clear_glass_black,Clear Black Stained Glass,黒色の透明なステンドグラス
block.connectedglass.clear_glass_black_pane,Clear Black Stained Glass Pane,黒色の透明なステンドグラス版
block.connectedglass.clear_glass_blue,Clear Blue Stained Glass,青色の透明なステンドグラス
block.connectedglass.clear_glass_blue_pane,Clear Blue Stained Glass Pane,青色の透明なステンドグラス版
block.connectedglass.clear_glass_brown,Clear Brown Stained Glass,茶色の透明なステンドグラス
block.connectedglass.clear_glass_brown_pane,Clear Brown Stained Glass Pane,茶色の透明なステンドグラス版
block.connectedglass.clear_glass_cyan,Clear Cyan Stained Glass,青緑色の透明なステンドグラス
block.connectedglass.clear_glass_cyan_pane,Clear Cyan Stained Glass Pane,青緑色の透明なステンドグラス版
block.connectedglass.clear_glass_gray,Clear Gray Stained Glass,灰色の透明なステンドグラス
block.connectedglass.clear_glass_gray_pane,Clear Gray Stained Glass Pane,灰色の透明なステンドグラス版
block.connectedglass.clear_glass_green,Clear Green Stained Glass,緑色の透明なステンドグラス
block.connectedglass.clear_glass_green_pane,Clear Green Stained Glass Pane,緑色の透明なステンドグラス版
