key,source_text,target_text
block.potionsmaster.cauldron,Cauldron,鍋
block.potionsmaster.tile_mortar,Mortar,乳鉢
effect.potionsmaster.allthemodiumpotioneffect,AllthemodiumSight,アレルモディウム視覚
effect.potionsmaster.aluminiumpotioneffect,AluminiumSight,アルミニウムスカイ
effect.potionsmaster.bismuthpotioneffect,BismuthSight,ビスマスight
effect.potionsmaster.buried_treasurepotioneffect,Buried Treasure Fast Travel,埋蔵宝高速移動
effect.potionsmaster.coalpotioneffect,CoalSight,石炭スカイ
effect.potionsmaster.copperpotioneffect,CopperSight,銅の視界
effect.potionsmaster.desert_pyramidpotioneffect,Desert Pyramid Fast Travel,砂漠ピラミッド高速移動
effect.potionsmaster.diamondpotioneffect,DiamondSight,ダイヤモンドスight
effect.potionsmaster.emeraldpotioneffect,EmeraldSight,エメラルドスight
effect.potionsmaster.endcitypotioneffect,End City Fast Travel,エンド都市高速移動
effect.potionsmaster.fortresspotioneffect,Fortress Fast Travel,要塞高速移動
effect.potionsmaster.goldpotioneffect,GoldSight,ゴールドサight
effect.potionsmaster.igloopotioneffect,Igloo Fast Travel,イグルー高速移動
effect.potionsmaster.ironpotioneffect,IronSight,アイアンサight
effect.potionsmaster.jungle_pyramidpotioneffect,Jungle Pyramid Fast Travel,jungleピラミッド高速移動
effect.potionsmaster.lapispotioneffect,LapisSight,ラピススight
effect.potionsmaster.leadpotioneffect,LeadSight,リードサight
effect.potionsmaster.mansionpotioneffect,Mansion Fast Travel,mansion高速移動
effect.potionsmaster.mineshaftpotioneffect,Mineshaft Fast Travel,mineshaft高速移動
effect.potionsmaster.monumentpotioneffect,Monument Fast Travel,monument高速移動
effect.potionsmaster.netheritepotioneffect,NetheriteSight,ネザーイートスカイ
effect.potionsmaster.nickelpotioneffect,NickelSight,ニッケルの視界
effect.potionsmaster.ocean_ruinpotioneffect,Ocean Ruin Fast Travel,海底遺跡高速移動
effect.potionsmaster.osmiumpotioneffect,OsmiumSight,オスミウムの視界
effect.potionsmaster.pillager_outpostpotioneffect,Pillager Outpost Fast Travel,pillageroutpost高速移動
effect.potionsmaster.platinumpotioneffect,PlatinumSight,プラチナビジョン
effect.potionsmaster.quartzpotioneffect,QuartzSight,クォーツの視界
effect.potionsmaster.redstonepotioneffect,RedstoneSight,レッドストーンビジョン
effect.potionsmaster.shipwreckpotioneffect,Shipwreck Fast Travel,shipwreck高速移動
effect.potionsmaster.silverpotioneffect,SilverSight,銀の視界
effect.potionsmaster.strongholdpotioneffect,Stronghold Fast Travel,stronghold高速移動
effect.potionsmaster.swamp_hutpotioneffect,Swamp Hut Fast Travel,沼地hut高速移動
effect.potionsmaster.tinpotioneffect,TinSight,スズビジョン
effect.potionsmaster.uraniumpotioneffect,UraniumSight,ウランスight
