key,source_text,target_text
block.mysticalautomation.awakening_altarnator,Awakening Altarnator,覚醒アルタナイター
block.mysticalautomation.crafter,Crafter,クラフター
block.mysticalautomation.enchanternator,Enchanternator,エンチャントネーター
block.mysticalautomation.farmer,Farmer,自動農業機
block.mysticalautomation.fertilizer,Fertilizer,肥料
block.mysticalautomation.infuser,Infuser,インフューザー
block.mysticalautomation.infusion_altarnator,Infusion Altarnator,インフュージョン・アルターナーター
book.mysticalagriculture.category.automation.name,Automation,自動化
book.mysticalagriculture.entry.awakening_altarnator,Awakening Altarnator,覚醒アルタナイター
book.mysticalagriculture.entry.crafter,Crafter,クラフター
book.mysticalagriculture.entry.crafter.page.1,The Crafter is used to automatically craft a recipe with the provided inputs. $(br2)They run off of solid fuels and have an internal power storage buffer. $(br2)Set a recipe using the grid then place items into their designated input slots.,Crafter は提供されたインプットを使用してレシピを自動でクラフトするために使用します。$(br2)固体燃料で動作し、内部電力ストレージバッファを備えています。$(br2)グリッドを使用してレシピを設定し、指定されたスロットにアイテムを配置します。
book.mysticalagriculture.entry.enchanternator,Enchanternator,エンチャントネーター
book.mysticalagriculture.entry.enchanternator.page.1,The Enchanternator is used to automatically create an $(l:souls/enchanter)Enchanter$() recipe. $()$(br2)They run off of solid fuels and have an internal power storage buffer. $(br2)Set a recipe using the slots above then place items into their designated input slots below.,Enchanternator は $(l:souls/enchanter)Enchanter$() のレシピを自動で作成するために使用します。$()$(br2)固体燃料で動作し、内部電力ストレージバッファを備えています。$(br2)上記のスロットを使用してレシピを設定し、下記の指定されたスロットにアイテムを配置します。
book.mysticalagriculture.entry.farmer,Farmer,自動農業機
book.mysticalagriculture.entry.farmer.page.1,"The Farmer is used to completely automate the process of planting, growing and harvesting crops. $(br2)They run off of solid fuels and have an internal power storage buffer.",Farmer は作物の植付け、成長、収穫のプロセスを完全に自動化するために使用します。$(br2)固体燃料で動作し、内部電力ストレージバッファを備えています。
book.mysticalagriculture.entry.fertilizer,Fertilizer,肥料
book.mysticalagriculture.entry.infuser,Infuser,インフューザー
book.mysticalagriculture.entry.infusion_altarnator,Infusion Altarnator,インフュージョン・アルターナーター
container.mysticalautomation.awakening_altarnator,Awakening Altarnator,覚醒アルタナイター
container.mysticalautomation.crafter,Crafter,クラフター
container.mysticalautomation.enchanternator,Enchanternator,エンチャントネーター
container.mysticalautomation.farmer,Farmer,自動農業機
container.mysticalautomation.fertilizer,Fertilizer,肥料
container.mysticalautomation.infuser,Infuser,インフューザー
container.mysticalautomation.infusion_altarnator,Infusion Altarnator,インフュージョン・アルターナーター
itemGroup.mysticalautomation,Mystical Automation,神秘自動化
jei.category.mysticalautomation.farmer,Farmer,自動農業機
jei.category.mysticalautomation.fertilizer,Fertilizer,肥料
tooltip.mysticalautomation.stage,Stage %s / %s,ステージ %s / %s
tooltip.mysticalautomation.stages,%s Stage(s),%s ステージ(ス)
book.mysticalagriculture.category.automation.description,This section goes over the additional content added by Mystical Automation.,
book.mysticalagriculture.entry.awakening_altarnator.page.1,The Awakening Altarnator is used to automatically create an $(l:elemental/awakening_altar)Awakening Altar$() recipe. $(br2)They run off of solid fuels and have an internal power storage buffer. $(br2)Set a recipe using the grid then place items into their designated input slots.,
book.mysticalagriculture.entry.awakening_altarnator.page.2,These machines can be upgraded with $(l:machines/machine_upgrades)Machine Upgrades$().,
book.mysticalagriculture.entry.crafter.page.2,These machines can be upgraded with $(l:machines/machine_upgrades)Machine Upgrades$().,
book.mysticalagriculture.entry.enchanternator.page.2,These machines can be upgraded with $(l:machines/machine_upgrades)Machine Upgrades$().,
book.mysticalagriculture.entry.farmer.page.2,These machines can be upgraded with $(l:machines/machine_upgrades)Machine Upgrades$().,
book.mysticalagriculture.entry.fertilizer.page.1,"The Fertilizer is used to automatically fertilize a field of plants using fertilizers such as Bonemeal, $(l:basics/fertilized_essence)Fertilized Essence$() or $(l:advances/mystical_fertilizer)Mystical Fertilizer$(). $(br2)They run off of solid fuels and have an internal power storage buffer.",
book.mysticalagriculture.entry.fertilizer.page.2,These machines can be upgraded with $(l:machines/machine_upgrades)Machine Upgrades$().,
book.mysticalagriculture.entry.infuser.page.1,The Infuser is used to automatically infuse $(l:basics/inferium_essence)Essences$() together with $(l:basics/infusion_crystal)Infusion Crystals$(). $(br2)They run off of solid fuels and have an internal power storage buffer. $(br2)Use the buttons below the input slots to set which tier of Essence you want to be automatically outputted.,
book.mysticalagriculture.entry.infuser.page.2,These machines can be upgraded with $(l:machines/machine_upgrades)Machine Upgrades$().,
book.mysticalagriculture.entry.infusion_altarnator.page.1,The Infusion Altarnator is used to automatically create an $(l:basics/infusion_altar)Infusion Altar$() recipe. $(br2)They run off of solid fuels and have an internal power storage buffer. $(br2)Set a recipe using the grid then place items into their designated input slots.,
book.mysticalagriculture.entry.infusion_altarnator.page.2,These machines can be upgraded with $(l:machines/machine_upgrades)Machine Upgrades$().,
